ds:H00001	B lymphoblastic leukemia/lymphoma
ds:H01612	Essential thrombocytosis
ds:H01613	Follicular lymphoma
ds:H01614	Multiple system atrophy
ds:H01615	Irritable bowel syndrome
ds:H01616	Spinocerebellar degeneration
ds:H01617	Foodborne trematodiasis; Foodborne trematode infections
ds:H01618	Pituitary gigantism
ds:H01619	Primary pulmonary hypertension (PPH)
ds:H01620	Raynaud syndrome
ds:H01621	Pulmonary arterial hypertension (PAH)
ds:H01622	Chronic thromboembolic pulmonary hypertension
ds:H01624	Postherpetic neuralgia
ds:H01625	Buerger's disease; Thromboangiitis obliterans
ds:H01626	Arteriosclerosis obliterans
ds:H01628	Opisthorchiasis
ds:H01629	Chronic arterial occlusive disease
ds:H01630	Patent ductus arteriosus
ds:H01631	Acute heart failure
ds:H01632	Angina pectoris
ds:H01633	High blood pressure; Hypertension
ds:H01634	Peptic ulcer
ds:H01635	Hyperlipidemia
ds:H01636	Fibromyalgia; Fibromyalgia syndrome
ds:H01637	Hypertriglyceridemia
ds:H01638	Neuropathic pain; Neuralgia
ds:H01639	Endometriosis
ds:H01640	Uterine leiomyoma; Fibroid
ds:H01641	Dry eye desease; Keratoconjunctivitis sicca
ds:H01642	Renal anemia
ds:H01643	Chilblains; Pernio
ds:H01644	Blepharitis
ds:H01645	Hyperthyroidism; Thyrotoxicosis
ds:H01646	Major depressive disorder (MDD)
ds:H01647	Subacute thyroiditis; Subacute granulomatous thyroiditis; De Quervain thyroiditis
ds:H01648	Pemphigus
ds:H01649	Schizophrenia
ds:H01650	Pemphigoid
ds:H01651	Macular edema
ds:H01652	Seborrheic dermatitis
ds:H01653	Bipolar disorder; Manic depressive illness
ds:H01654	Lichen planus
ds:H01655	Granulomatosis with polyangiitis (GPA); Wegener's granulomatosis
ds:H01656	Psoriasis
ds:H01657	Nephrotic syndrome
ds:H01658	Microscopic polyangiitis
ds:H01659	Pityriasis rubra pilaris
ds:H01660	Pityriasis rosea
ds:H01661	Xanthoma; Xanthomatosis
ds:H01662	Generalized anxiety disorder; Anxiety neurosis
ds:H01663	Pustular psoriasis
ds:H01664	Panic disorder
ds:H01665	Primary peritoneal carcinoma
ds:H01666	Angiosarcoma
ds:H01667	Medulloblastoma
ds:H01668	Neoplastic meningitis
ds:H01669	Secondary hyperparathyroidism
ds:H01670	Social anxiety disorder; Social phobia
ds:H01671	Neurosis; Neurotic disorder
ds:H01672	Juvenile idiopathic arthritis (JIA)
ds:H01673	Palmoplantar keratoderma
ds:H01674	Ankylosing spondylitis; Bechterew's disease
ds:H01675	Syringomyelia
ds:H01676	Normal pressure hydrocephalus
ds:H01677	Congenital hydrocephalus
ds:H01678	Dandy-Walker syndrome
ds:H01679	Intrahepatic lithiasis; Intrahepatic calculosis; Hepatolithiasis
ds:H01680	Chronic pancreatitis
ds:H01681	Acute pancreatitis
ds:H01682	Syndrome of inappropriate secretion of antidiuretic hormone (SIADH)
ds:H01683	Disorders of antidiuretic hormone (ADH) secretion
ds:H01684	Primary sclerosing cholangitis (PSC)
ds:H01685	Autoimmune hepatitis (AIH)
ds:H01686	Idiopathic portal hypertension; Non-cirrhotic portal fibrosis; Banti's syndrome
ds:H01687	Extrahepatic portal vein obstruction (EHPVO); Extrahepatic portal venous obstruction
ds:H01688	Rapidly progressive glomerulonephritis (RPGN)
ds:H01689	Fisher syndrome; Miller Fisher syndrome
ds:H01690	Lichen sclerosus et atrophphicus (LSA)
ds:H01691	Renal angiomyolipoma
ds:H01692	Subependymal giant cell astrocytoma (SEGA)
ds:H01693	Eosinophilic fasciitis; Diffuse fasciitis
ds:H01694	Stevens-Johnson syndrome and toxic epidermal necrolysis; Lyell's syndrome
ds:H01695	Erythema multiforme
ds:H01696	Subacute sclerosing panencephalitis (SSPE)
ds:H01697	Antiphospholipid syndrome (APS)
ds:H01698	Giant cell arteritis; Temporal arteritis
ds:H01699	Isolated TSH deficiency
ds:H01700	Hypopituitarism
ds:H01701	Pituitary TSH hypersecretion; Syndrome of inappropriate secretion of TSH (SITSH)
ds:H01702	Glucocorticoid resistance syndrome
ds:H01703	Eating Disorders
ds:H01704	Sudden sensorineural hearing loss
ds:H01705	Bilateral sudden sensorineural hearing loss
ds:H01706	Delayed endolymphatic hydrops
ds:H01707	Ossified ligamentum flavum; Ossification of the yellow ligament
ds:H01708	Diffuse idiopathic skeletal hyperostosis; Forestier disease; Ankylosing hyperostosis; Ossification of the anterior longitudinal ligament
ds:H01709	Glucocorticoid-induced osteonecrosis
ds:H01710	Mixed connective tissue disease
ds:H01711	Spinal stenosis
ds:H01712	Fulminant hepatic failure; Fulminant hepatitis
ds:H01713	Diffuse panbronchiolitis
ds:H01714	Chronic obstructive pulmonary disease (COPD); Emphysema
ds:H01715	Obesity hypoventilation syndrome; Pickwickian Syndrome
ds:H01716	Idiopathic interstitial pneumonias
ds:H01717	Optic neuritis
ds:H01718	Kawasaki disease; Mucocutaneous lymph node syndrome
ds:H01719	Optic neuropathy
ds:H01720	Southeast Asian ovalocytosis (SAO)
ds:H01721	Anti-glomerular basement membrane (GBM) disease; Goodpasture syndrome
ds:H01722	Galloway-Mowat syndrome
ds:H01723	Deep vein thrombosis (DVT)
ds:H01724	HTLV1-associated myelopathy (HAM); Tropical spastic paraparesis (TSP)
ds:H01725	Primary immunodeficiency diseases
ds:H01726	Membranoproliferative glomerulonephritis
ds:H01727	Primary alveolar hypoventilation syndrome
ds:H01728	Potter syndrome; Potter sequence
ds:H01729	Premature ventricular complexes (PVCs); Premature ventricular contractions
ds:H01730	Myocardial infarction
ds:H01731	Fragile X tremor/ataxia syndrome (FXTAS)
ds:H01732	Angelman syndrome (AS)
ds:H01733	Werner syndrome
ds:H01734	Rothmund-Thomson syndrome
ds:H01735	Lymphangiomatosis
ds:H01736	Persistent truncus arteriosus
ds:H01737	Epidermolysis bullosa
ds:H01738	Noonan syndrome
ds:H01739	Polycystic ovary syndrome
ds:H01740	Macrothrombocytopenia
ds:H01741	Autoinflammation lipodystrophy and dermatosis syndrome (ALDD); Proteasome associated autoinflammatory syndromes (PRAAS); Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature (CANDLE) syndrome; Joint contractures, muscle atrophy, microcytic anemia, and panniculitis-induced lipodystrophy (JMP); Japanese autoinflammatory syndrome with lipodystrophy (JASL)
ds:H01742	Coronary artery disease
ds:H01743	Autoinflammation and PLCG2-associated antibody deficiency and immune dysregulation (APLAID)
ds:H01744	Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis; HOIL-1 deficiency
ds:H01745	Cardiofaciocutaneous syndrome
ds:H01746	STING-associated vasculopathy with onset in infancy (SAVI)
ds:H01747	Costello syndrome
ds:H01748	Autoinflammation with infantile enterocolitis (AIFEC)
ds:H01749	Achondroplasia
ds:H01750	Thanatophoric dysplasia
ds:H01751	Weaver syndrome
ds:H01752	ATR-X syndrome; X-linked alpha-thalassemia/mental retardation syndrome
ds:H01753	Antley-Bixler syndrome
ds:H01754	Crouzon syndrome
ds:H01755	Apert syndrome
ds:H01756	Pfeiffer syndrome
ds:H01757	Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy; CARASIL
ds:H01758	Relapsing polychondritis
ds:H01759	Autoimmune hemorrhaphilia XIII/13; Autoimmune acquired factor XIII (F13) deficiency
ds:H01760	Hepatic glycogen storage disease
ds:H01761	Immunoglobulin G4-related disease; Immunoglobulin G4-positive multi-organ lymphoproliferative syndrome
ds:H01762	Muscle glycogen storage disease
ds:H01763	Porphyria
ds:H01764	Polysplenia syndrome
ds:H01765	Eosinophilic sinusitis; Eosinophilic chronic rhinosinusitis
ds:H01766	Juvenile retinoschisis
ds:H01767	Henoch-Schonlein purpura nephritis
ds:H01768	Central areolar choroidal dystrophy
ds:H01769	ZTTK syndrome
ds:H01770	Macular dystrophy
ds:H01771	Congenital ichthyosis
ds:H01772	Adrenal hypoplasia congenita
ds:H01773	4p deletion syndrome; Wolf-Hirschhorn syndrome
ds:H01774	Hyperostosis corticalis generalisata; Van Buchem disease
ds:H01775	PCDH19-related epilepsy syndrome; Early infantile epileptic encephalopathy 9; Epilepsy with mental retardation limited to females
ds:H01776	Aicardi syndrome
ds:H01777	Schwartz-Jampel syndrome
ds:H01778	Ullrich disease; Ullrich congenital muscular dystrophy
ds:H01779	Neuroferritinopathy
ds:H01780	Non-dystrophic myotonia
ds:H01781	Autophagic vacuolar myopathy
ds:H01782	Eosinophilic gastrointestinal disorder
ds:H01783	Ebstein anomaly
ds:H01784	Primary hyperchylomicronemia
ds:H01785	Tricuspid atresia
ds:H01786	Congenitally corrected transposition of the great arteries
ds:H01787	Univentricular heart
ds:H01788	Klippel-Trenaunay-Weber syndrome
ds:H01789	You-Hoover-Fong syndrome
ds:H01790	Emanuel syndrome; Supernumerary derivative 22 syndrome
ds:H01791	Smith-Magenis syndrome
ds:H01792	1p36 deletion syndrome
ds:H01793	Young-Simpson syndrome; Say-Barber-Biesecker-Young-Simpson syndrome (SBBYSS); Say-Barber-Biesecker variant of Ohdo syndrome
ds:H01794	Genitopatellar syndrome (GPS)
ds:H01795	Blepharophimosis-mental retardation syndrome (BMRS); Ohdo syndrome
ds:H01796	Uncombable hair syndrome; Spun glass hair syndrome; Pili trianguli et canaliculi
ds:H01797	Webb-Dattani syndrome; Hypothalamic insufficiency-secondary microcephaly-visual impairment-urinary anomalies syndrome
ds:H01798	Autosomal dominant neovascular inflammatory vitreoretinopathy (ADNIV)
ds:H01799	Vibratory urticaria; Vibratory angioedema
ds:H01800	Verheij syndrome; Chromosome 8q24.3 deletion syndrome
ds:H01801	Kagami-Ogata syndrome; Paternal uniparental disomy 14
ds:H01802	Pulmonary atresia with intact ventricular septum
ds:H01803	Pulmonary atresia with ventricular septal defect
ds:H01804	Isaacs syndrome
ds:H01805	Tricho-hepato-enteric syndrome; Syndromic diarrhea
ds:H01806	Tenorio syndrome
ds:H01807	Hereditary diffuse leukoencephalopathy with spheroids
ds:H01808	Hemiconvulsion-hemiplegia-epilepsy syndrome
ds:H01809	Sturge-Weber syndrome
ds:H01810	Congenital myopathy
ds:H01811	Arima syndrome
ds:H01812	Rasmussen encephalitis; Rasmussen syndrome
ds:H01813	Lennox-Gastaut syndrome
ds:H01814	Stromme syndrome; Apple peel syndrome with microcephaly and ocular anomalies; Jejunal atresia with microcephaly and ocular anomalies
ds:H01815	Malignant migrating partial seizures in infancy
ds:H01816	Frank-ter Haar syndrome (FTHS)
ds:H01817	Beukes hip dysplasia (BHD); Beukes type hip dysplasia
ds:H01818	Dravet syndrome
ds:H01819	Early myoclonic encephalopathy
ds:H01820	Carney complex
ds:H01821	Spondylometaphyseal dysplasia with cone-rod dystrophy (SMD-CRD)
ds:H01822	Epilepsy with myoclonic absence
ds:H01823	Myoclonic-astatic epilepsy; Doose syndrome
ds:H01824	CODAS syndrome; Cerebral, ocular, dental, auricular, and skeletal anomalies syndrome
ds:H01825	Spondylometaphyseal dysplasia, Sedaghatian type (SMDS)
ds:H01826	Mesial temporal lobe epilepsy with hippocampal sclerosis
ds:H01827	Epileptic encephalopathy with continuous spike-waves during slow-wave sleep; Rolandic epilepsy, mental retardation, and speech dyspraxia
ds:H01828	Opsismodysplasia
ds:H01829	Acute encephalitis with refractory repetitive partial seizures
ds:H01830	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melki type (SMDMDM)
ds:H01831	Ring chromosome 20 syndrome
ds:H01832	Lenz-Majewski syndrome; Lenz-Majewski hyperostotic dwarfism
ds:H01833	Hemimegalencephaly
ds:H01834	Marshall-Smith syndrome
ds:H01835	Neuronal migration disorder
ds:H01836	Congenital pain insensitivity with anhidrosis
ds:H01837	Congenital suprabulbar paresis; Worster Drought syndrome
ds:H01838	Mandibulofacial dysostosis with microcephaly; Mandibulofacial dysostosis, Guion-Almeida type
ds:H01839	Burn-McKeown syndrome
ds:H01840	Moebius syndrome; Mobius syndrome
ds:H01841	Acute encephalopathy with biphasic seizures and late reduced diffusion
ds:H01842	Bickerstaff brainstem encephalitis
ds:H01843	Cerebrocostomandibular syndrome
ds:H01844	Diaphanospondylodysostosis
ds:H01845	Catel-Manzke syndrome; Palatodigital syndrome; Hyperphalangy syndrome
ds:H01846	Superficial siderosis
ds:H01847	Thrombocytopenia-absent radius syndrome; TAR syndrome
ds:H01848	Acquired idiopathic generalized anhidrosis
ds:H01849	Peripheral arteriovenous malformation
ds:H01850	Hartsfield syndrome; Holoprosencephaly, ectrodactyly, and cleft/lip palate
ds:H01851	Congenital scoliosis associated with rib anomalies
ds:H01852	Postaxial polydactyly
ds:H01853	Chronic nonspecific multiple ulcers of the small intestine
ds:H01854	Metacarpal 4-5 fusion (MF4)
ds:H01855	Biliary atresia
ds:H01856	Cloacal exstrophy; Vesicointestinal fissure
ds:H01857	Filippi syndrome; Syndactyly type 1 with microcephaly and intellectual disability
ds:H01858	Persistent cloaca
ds:H01859	Occipital horn syndrome
ds:H01860	Abnormal pituitary gonadotropin secretion
ds:H01861	Chromosome 15q24 microdeletion syndrome; Witteveen-Kolk syndrom
ds:H01862	Hypoparathyroidism
ds:H01863	Atopic myelitis; Eosinophilic myelitis
ds:H01864	Excessive secretion of growth hormone
ds:H01865	Multicentric carpotarsal osteolysis syndrome
ds:H01866	Pulmonary veno-occlusive disease and pulmonary capillary hemangiomatosis
ds:H01867	Congenital anomalies of kidney and urinary tract (CAKUT)
ds:H01868	Mitral valve prolapse
ds:H01869	Megacystis microcolon intestinal hypoperistalsis syndrome; Visceral myopathy
ds:H01870	Microhydranencephaly
ds:H01871	Isolated hypoganglionosis
ds:H01872	Microcephaly-capillary malformation syndrome
ds:H01873	Obliterative bronchiolitis; Bronchiolitis obliterans
ds:H01874	Cronkhite-Canada syndrome
ds:H01875	Infantile hepatic hemangioma
ds:H01876	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation (MCLMR); Microcephaly, lymphedema, chorioretinal dysplasia (MLCRD) syndrome; Chorioretinal dysplasia, microcephaly, and mental retardation (CDMMR) syndrome
ds:H01877	Chromosome 15q13.3 microdeletion syndrome
ds:H01878	Al-Raqad syndrome
ds:H01879	Wiedemann-Steiner syndrome; Alazami-Yuan syndrome
ds:H01880	Autosomal recessive microcephaly and chorioretinopathy
ds:H01881	Complex cortical dysplasia with other brain malformations
ds:H01882	Asperger syndrome
ds:H01883	Nestor-Guillermo progeria syndrome
ds:H01884	Auriculocondylar syndrome; Question mark ears syndrome
ds:H01885	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome (MPPH); MPPH syndrome
ds:H01886	Van den Ende-Gupta syndrome
ds:H01887	3MC syndrome; Malpuech-Michels-Mingarelli-Carnevale syndrome
ds:H01888	Carpenter syndrome
ds:H01889	Meier-Gorlin syndrome
ds:H01890	Pattern dystrophies of the retinal pigment epithelium; Patterned macular dystrophy; Butterfly-shaped macular dystrophy
ds:H01891	Autosomal recessive spinocerebellar ataxias
ds:H01892	Peripheral T cell lymphoma (PTCL)
ds:H01893	Lateral meningocele syndrome; Lehman syndrome
ds:H01894	Multiple mitochondrial dysfunctions syndrome
ds:H01895	Attention deficit hyperactivity disorder (ADHD)
ds:H01896	Aplasia cutis congenita
ds:H01897	Oocyte maturation defect
ds:H01898	PNPLA6-related disorders
ds:H01899	Dyslexia
ds:H01900	Encephalopathy due to defective mitochondrial and peroxisomal fission
ds:H01901	Barrett's esophagus
ds:H01902	Brittle cornea syndrome
ds:H01903	Brown-Vialetto-Van Laere syndrome
ds:H01904	Microphthalmia with linear skin defects (MLS) syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome
ds:H01905	Trichomegaly
ds:H01906	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis
ds:H01907	Acid-labile subunit (ALS) deficiency
ds:H01908	Carey-Fineman-Ziter syndrome
ds:H01909	Hypoinsulinemic hypoglycemia with hemihypertrophy (HIHGHH)
ds:H01910	Infantile myofibromatosis
ds:H01911	Syndromic autosomal recessive mental retardation
ds:H01912	Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi; CLOVE syndrome
ds:H01913	Renpenning syndrome
ds:H01914	Christianson syndrome
ds:H01915	Borjeson-Forssman-Lehmann syndrome
ds:H01916	Stocco dos Santos X-linked mental retardation syndrome
ds:H01917	CK syndrome
ds:H01918	Familial autosomal recessive hypercholesterolemia
ds:H01919	Proud syndrome
ds:H01920	Partington syndrome
ds:H01921	MICPCH syndrome; Syndromic X-linked mental retardation, Najm type
ds:H01922	Infantile hypotonia with psychomotor retardation and characteristic facies
ds:H01923	Microcephaly, short stature, and impaired glucose metabolism
ds:H01924	Sydenham's chorea; Chorea minor
ds:H01925	Transient neonatal zinc deficiency (TNZD)
ds:H01926	Ventricular septal defect (VSD)
ds:H01927	Van der Woude syndrome
ds:H01928	Smith-Kingsmore syndrome; Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
ds:H01929	2,4-Dienoyl-CoA reductase deficiency
ds:H01930	Au-Kline syndrome
ds:H01931	Lethal-type popliteal pterygium syndrome; Bartsocas-Papas syndrome (BPS)
ds:H01932	Ablepharon-macrostomia syndrome
ds:H01933	Porokeratosis
ds:H01934	Barber-Say syndrome
ds:H01935	Familial hypercholanemia
ds:H01936	Hyperbiliverdinemia (HBLVD)
ds:H01937	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly (MARCH); Hydranencephaly with renal aplasia-dysplasia
ds:H01938	Hypermanganesemia with dystonia (HMNDYT)
ds:H01939	Glycogen storage disease type I; Von Gierke disease
ds:H01940	Glycogen storage disease type II; Pompe disease
ds:H01941	Glycogen storage disease type III; Cori disease; Forbes disease
ds:H01942	Glycogen storage disease type IV; Andersen disease
ds:H01943	Glycogen storage disease type V; McArdle disease
ds:H01944	Glycogen storage disease type VI; Hers disease
ds:H01945	Glycogen storage disease type VII; Tarui disease
ds:H01946	Glycogen storage disease type XI; Lactate dehydrogenase A deficiency
ds:H01947	Fanconi-Bickel syndrome
ds:H01948	Glycogen storage disease type IX; Phosphorylase kinase deficiency
ds:H01949	Glycogen storage disease type 0b; Muscle glycogen synthase deficiency
ds:H01950	Glycogen storage disease type 0a; Liver glycogen synthase deficiency
ds:H01951	Glycogen storage disease type X
ds:H01952	Glycogen storage disease type XII
ds:H01953	Glycogen storage disease type XIII
ds:H01954	Glycogen storage disease type XIV; Congenital disorder of glycosylation type It
ds:H01955	Glycogen storage disease type XV
ds:H01956	Glycogen storage disease of heart
ds:H01957	Fukuyama congenital muscular dystrophy
ds:H01958	Merosin-deficient congenital muscular dystrophy
ds:H01959	Muscular dystrophy-dystroglycanopathy type C
ds:H01960	Muscular dystrophy-dystroglycanopathy type B
ds:H01961	Congenital muscular dystrophy type 1C (MDC1C)
ds:H01962	Congenital muscular dystrophy type 1D (MDC1D)
ds:H01963	Duchenne muscular dystrophy (DMD)
ds:H01964	Becker muscular dystrophy
ds:H01965	Miyoshi myopathy
ds:H01966	Cartilage-hair hypoplasia; Metaphyseal dysplasia, McKusik type
ds:H01967	Anauxetic dysplasia
ds:H01968	Hyper-IgE syndrome; Job syndrome; Buckley syndrome
ds:H01969	X-linked lymphoproliferative syndrome; Duncan disease
ds:H01970	Lymphoproliferative syndrome 1
ds:H01971	IPEX syndrome; Immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome
ds:H01972	Autoimmune polyendocrinopathy syndrome type 1; Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED)
ds:H01973	Fertile eunuch syndrome; Hypogonadotropic hypogonadism-23 without anosmia (HH23)
ds:H01974	Limb-girdle muscular dystrophy (LGMD) 2B
ds:H01975	Welander distal myopathy
ds:H01976	Tibial muscular dystrophy
ds:H01977	Laing distal myopathy; Myopathy, distal 1 (MPD1)
ds:H01978	Dehydrated hereditary stomatocytosis; Hereditary xerocytosis
ds:H01979	Overhydrated hereditary stomatocytosis; Hereditary xerocytosis
ds:H01980	SCAD deficiency; Short-chain acyl-CoA dehydrogenase deficiency; ACADS deficiency
ds:H01981	Carnitine palmitoyltransferase I deficiency
ds:H01982	Carnitine palmitoyltransferase II deficiency
ds:H01983	Carnitine-acylcarnitine translocase deficiency
ds:H01984	Leopard syndrome
ds:H01985	Desmoplastic small round cell tumor
ds:H01986	Legius syndrome
ds:H01987	Familial dysautonomia; Riley-Day syndrome; Hereditary sensory and autonomic neuropathy type 3
ds:H01988	Jackson-Weiss syndrome
ds:H01989	Beare-Stevenson syndrome; Beare-Stevenson cutis gyrata syndrome
ds:H01990	Muenke syndrome; Muenke craniosynostosis
ds:H01991	Saethre-Chotzen syndrome
ds:H01992	Craniofrontonasal syndrome; Craniofrontonasal dysplasia
ds:H01993	Baller-Gerold syndrome
ds:H01994	Lafora disease
ds:H01995	Unverricht-Lundborg disease; Epilepsy, progressive myoclonic 1
ds:H01996	Pyruvate dehydrogenase phosphatase deficiency
ds:H01997	Pyruvate dehydrogenase E1-alpha deficiency
ds:H01998	Pyruvate dehydrogenase E1-beta deficiency
ds:H01999	Pyruvate dehydrogenase E2 deficiency
ds:H02000	Dihydrolipoamide dehydrogenase deficiency; E3 deficiency; Maple syrup urine disease type III
ds:H02001	Familial pseudohyperkalemia
ds:H02002	Cryohydrocytosis (CHC)
ds:H02003	Pyruvate dehydrogenase E3-binding protein deficiency; Lacticacidemia due to PDX1 deficiency
ds:H02004	Fumarase deficiency; Fumaric aciduria
ds:H02005	Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency
ds:H02006	Alpha-ketoglutarate dehydrogenase complex (KGDHC) deficiency
ds:H02007	GRACILE syndrome; Fellman syndrome; Finnish lethal neonatal metabolic syndrome
ds:H02008	Galactose-1P uridylyltransferase deficiency; Classic galactosemia; Galactosemia type I
ds:H02009	Galactokinase deficiency; Galactosemia II
ds:H02010	Galactose epimerase deficiency; Galactosemia III
ds:H02011	Familial juvenile hyperuricemic nephropathy (HNFJ)
ds:H02012	Medullary cystic kidney disease (MCKD)
ds:H02013	Glycerol kinase deficiency
ds:H02014	Ataxia-telangiectasia-like syndrome
ds:H02015	LIG4 syndrome
ds:H02016	Tay-Sachs disease; GM2 gangliosidoses type I
ds:H02017	Sandhoff disease; GM2 gangliosidoses type II
ds:H02018	Central precocious puberty
ds:H02019	Familial male-limited precocious puberty; Familial testotoxicosis; Gonadotropin-independent familial sexual precocity
ds:H02020	Aromatase deficiency
ds:H02021	Chediak-Higashi syndrome
ds:H02022	Griscelli syndrome
ds:H02023	Baraitser-Winter syndrome
ds:H02024	Neutrophil specific granule deficiency
ds:H02025	Myeloperoxidase deficiency
ds:H02026	Familial hypocalciuric hypercalcemia
ds:H02027	Male hypogonadism
ds:H02028	Filariasis
ds:H02029	Mycobacterium avium complex (MAC) pulmonary disease
ds:H02030	Neonatal hyperparathyroidism
ds:H02031	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia
ds:H02032	Entomophthoramycosis
ds:H02033	Mucormycosis
ds:H02034	Central hypothyroidism and testicular enlargement
ds:H02035	Isolated growth hormone deficiency
ds:H02036	Combined pituitary hormone deficiency
ds:H02037	Laron syndrome; Growth hormone insensitivity syndrome; Pituitary dwarfism II
ds:H02038	X-linked panhypopituitarism
ds:H02039	Kowarski syndrome
ds:H02040	Insulin-like growth factor I deficiency
ds:H02041	Myopia
ds:H02042	Familial expansile osteolysis
ds:H02043	Capillary malformation-arteriovenous malformation
ds:H02044	Cutaneous and mucosal venous malformation; Mucocutaneous venous malformation
ds:H02045	Norrie disease
ds:H02046	OFC syndrome; Oto-facio-cervical syndrome
ds:H02047	Bohring-Opitz syndrome
ds:H02048	Larsen syndrome
ds:H02049	Bilateral macronodular adrenal hyperplasia (BMAH)
ds:H02050	Prepubertal periodontitis
ds:H02051	May-Hegglin anomaly
ds:H02052	Sebastian syndrome
ds:H02053	Fechtner syndrome
ds:H02054	Crigler-Najjar syndrome
ds:H02055	Gilbert syndrome
ds:H02056	Dubin-Johnson syndrome
ds:H02057	Rotor syndrome
ds:H02058	Kohlschutter-Tonz syndrome
ds:H02059	Leptin deficiency
ds:H02060	Leptin receptor deficiency
ds:H02061	Estrogen resistance syndrome
ds:H02062	Familial digital arthropathy-brachydactyly
ds:H02063	Diastrophic dysplasia
ds:H02064	Atelosteogenesis
ds:H02065	Achondrogenesis type IB; Achondrogenesis, Fraccaro type
ds:H02066	Achondrogenesis type II; Achondrogenesis, Langer-Saldino type
ds:H02067	Boomerang dysplasia
ds:H02068	Hypochondroplasia
ds:H02069	SADDAN; Severe achondroplasia with developmental delay and acanthosis nigricans
ds:H02070	Kniest dysplasia
ds:H02071	Czech dysplasia
ds:H02072	Stickler syndrome
ds:H02073	Wagner syndrome
ds:H02074	Knobloch syndrome
ds:H02075	Enhanced S-cone syndrome; Goldmann-Favre syndrome
ds:H02076	Bacteroides infection
ds:H02077	Snowflake vitreoretinal degeneration
ds:H02078	Autosomal dominant vitreoretinochoroidopathy
ds:H02079	Oto-spondylo-megaepiphyseal dysplasia; OSMED; Weissenbacher-Zweymuller syndrome
ds:H02080	Fibrochondrogenesis
ds:H02081	Marshall syndrome
ds:H02082	Floating-Harbor syndrome
ds:H02083	Focal facial dermal dysplasia
ds:H02084	Native American myopathy
ds:H02085	Acyl-CoA dehydrogenase 9 deficiency
ds:H02086	Mitochondrial complex III deficiency
ds:H02087	Vertebral, cardiac, renal, and limb defects syndrome; Congenital NAD deficiency disorder
ds:H02088	Primary intraosseous vascular malformation (VMPI); Primary intraosseous hemangioma
ds:H02089	Winchester syndrome
ds:H02090	Trehalase deficiency
ds:H02091	Jervell and Lange-Nielsen syndrome
ds:H02092	von Willebrand disease
ds:H02093	Platelet-type von Willebrand disease; Pseudo-von Willebrand disease
ds:H02094	Carvajal syndrome; Dilated cardiomyopathy with woolly hair and keratoderma
ds:H02095	Perrault syndrome
ds:H02096	Peroxisomal acyl-CoA oxidase deficiency
ds:H02097	Gray platelet syndrome; Bleeding disorder platelet-type 4
ds:H02098	D-bifunctional protein deficiency; DBP deficiency; Bifunctional enzyme deficiency
ds:H02099	Alpha-methylacyl-CoA racemase deficiency; AMACR deficiency
ds:H02100	Peroxisomal fatty acyl-CoA reductase 1 disorder
ds:H02101	Autosomal dominant sensory ataxia
ds:H02102	Myhre syndrome
ds:H02103	Desanto-Shinawi syndrome
ds:H02104	Megalocornea; X-linked megalocornea
ds:H02105	Prohormone convertase 1/3 deficiency
ds:H02106	Genetic obesity
ds:H02107	Bietti crystalline corneoretinal dystrophy (BCD)
ds:H02109	Combined malonic and methylmalonic aciduria
ds:H02111	Autism; Autistic spectrum disorder; Pervasive developmental disorder
ds:H02115	Congenital aural atresia
ds:H02123	Celiac disease
ds:H02124	Interstitial lung and liver disease; Hereditary pulmonary alveolar proteinosis with hepatic involvement
ds:H02125	Cardiac conduction disease with dilated cardiomyopathy
ds:H02128	Defects in lysosomal trafficking
ds:H02130	Mucolipidosis III; Pseudo-Hurler polydystrophy
ds:H02132	Microcephaly syndrome
ds:H02135	Cone-rod dystrophy and hearing loss
ds:H02136	Branched-chain ketoacid dehydrogenase kinase deficiency; BCKDK deficiency
ds:H02138	Hereditary hypophophatemic rickets with hypercalciuria
ds:H02139	Autosomal recessive hypophosphatemic rickets
ds:H02141	Autosomal dominant hypophosphatemic rickets
ds:H02142	X-linked recessive hypophosphatemic rickets
ds:H02143	X-linked dominant hypophosphatemic rickets
ds:H02145	Calcium oxalate nephrolithiasis; Calcium oxalate urolithiasis
ds:H02147	X-linked recessive nephrolithiasis with renal failure
ds:H02148	Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis
ds:H02149	X-linked hypercalciuric nephrolithiasis
